Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 06:28:12,2017-10-30 06:29:30,1m - 17.827s,PASSED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 06:28:13,2017-10-30 06:28:20,7.685s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 06:28:13,2017-10-30 06:28:16,2.837s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 06:28:16,2017-10-30 06:28:17,1.169s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 06:28:17,2017-10-30 06:28:20,2.471s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:28:20,2017-10-30 06:28:20,0.247s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:28:20,2017-10-30 06:28:20,0.148s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:28:20,2017-10-30 06:28:20,0.050s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 06:28:20,2017-10-30 06:28:20,0.097s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:28:20,2017-10-30 06:28:20,0.095s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 06:28:20,2017-10-30 06:28:51,31.169s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:28:21,2017-10-30 06:28:38,17.172s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:28:38,2017-10-30 06:28:38,0.437s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:28:38,2017-10-30 06:28:40,1.638s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:28:40,2017-10-30 06:28:40,0.054s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:28:40,2017-10-30 06:28:40,0.353s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:28:40,2017-10-30 06:28:51,11.256s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 06:28:52,2017-10-30 06:29:29,37.437s,PASSED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:28:52,2017-10-30 06:28:52,0.019s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:28:52,2017-10-30 06:28:53,1.342s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:28:53,2017-10-30 06:28:54,1.339s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:28:54,2017-10-30 06:28:56,1.662s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:28:56,2017-10-30 06:28:56,0.292s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:28:56,2017-10-30 06:29:29,32.527s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:29:29,2017-10-30 06:29:29,0.124s,PASSED
